Pclass,Sex,Age,Fare,Family_cnt,Cabin_ind
3,0,29.69911764705882,15.2458,2,0
2,0,31.0,10.5,0,0
3,0,20.0,7.925,0,0
2,1,6.0,33.0,1,0
3,1,14.0,11.2417,1,0
1,1,26.0,78.85,0,0
3,1,29.69911764705882,7.75,0,0
3,0,16.0,18.0,2,0
3,1,16.0,7.75,0,0
1,1,19.0,26.2833,2,1
1,0,37.0,53.1,1,1
3,0,44.0,8.05,0,0
3,1,29.69911764705882,25.4667,4,0
3,0,30.0,7.225,0,0
2,0,36.0,13.0,0,0
1,1,16.0,39.4,1,1
1,0,42.0,52.5542,1,1
3,1,29.69911764705882,7.8292,0,0
2,0,27.0,13.0,0,0
1,0,47.0,52.0,0,1
3,0,24.0,7.8958,0,0
1,0,34.0,26.55,0,0
3,1,19.0,7.8542,1,0
3,0,20.0,9.225,0,0
3,0,29.69911764705882,14.5,0,0
3,0,10.0,27.9,5,0
1,0,40.0,27.7208,0,0
2,0,31.0,13.0,0,0
3,0,4.0,27.9,5,0
3,1,31.0,7.8542,0,0
3,0,19.0,7.8958,0,0
3,1,22.0,7.75,0,0
1,0,29.69911764705882,30.6958,0,0
3,1,29.69911764705882,7.55,0,0
3,0,18.0,8.05,0,0
3,0,27.0,14.4542,1,0
1,0,28.0,35.5,0,1
3,1,29.69911764705882,7.75,0,0
1,1,30.0,31.0,0,0
3,0,29.69911764705882,7.8958,0,0
2,0,21.0,73.5,2,0
3,0,29.0,7.0458,1,0
3,0,29.69911764705882,8.05,0,0
3,0,29.69911764705882,7.75,0,0
3,1,45.0,14.4542,1,0
3,0,16.0,34.375,4,0
3,0,19.0,8.1583,0,0
3,0,23.0,9.225,0,0
3,0,24.0,7.05,0,0
1,0,58.0,113.275,2,1
3,1,5.0,19.2583,3,0
1,1,52.0,93.5,2,1
3,0,40.0,27.9,5,0
1,0,11.0,120.0,3,1
3,0,65.0,7.75,0,0
1,1,18.0,79.65,2,1
2,0,32.0,10.5,0,0
1,1,50.0,247.5208,1,1
2,1,35.0,21.0,0,0
3,1,19.0,7.8792,0,0
3,0,21.0,7.775,0,0
2,1,13.0,19.5,1,0
2,1,28.0,26.0,1,0
1,0,29.69911764705882,25.925,0,0
3,0,29.69911764705882,7.75,0,0
2,1,57.0,10.5,0,1
2,0,21.0,73.5,0,0
3,0,29.0,7.875,0,0
3,0,17.0,7.2292,2,0
1,1,52.0,78.2667,1,1
2,1,26.0,26.0,2,0
1,1,18.0,262.375,4,1
1,0,26.0,30.0,0,1
1,1,39.0,83.1583,2,1
3,0,23.0,7.8542,0,0
3,0,36.0,15.55,1,0
3,1,30.5,7.75,0,0
1,1,22.0,49.5,2,1
2,1,38.0,13.0,0,0
3,1,41.0,20.2125,2,0
3,0,16.0,39.6875,5,0
2,1,29.0,10.5,0,1
1,1,40.0,134.5,2,1
3,0,29.69911764705882,7.7375,0,0
1,0,56.0,30.6958,0,1
1,0,71.0,49.5042,0,0
1,1,31.0,113.275,1,1
1,1,30.0,56.9292,0,1
1,0,38.0,0.0,0,0
3,0,29.69911764705882,7.25,0,0
3,0,9.0,20.525,2,0
3,1,9.0,31.275,6,0
1,0,61.0,32.3208,0,1
3,0,29.69911764705882,7.7292,0,0
3,0,29.69911764705882,7.8958,0,0
3,0,28.0,7.8542,0,0
1,0,48.0,52.0,1,1
3,0,45.0,8.05,0,0
2,1,36.0,13.0,0,1
3,0,27.0,7.8958,0,0
1,0,64.0,26.0,0,0
3,0,35.0,7.125,0,0
1,1,19.0,91.0792,1,1
3,0,38.0,7.05,0,0
3,0,30.5,8.05,0,0
3,0,25.0,7.775,1,0
2,1,40.0,39.0,2,0
1,0,47.0,38.5,0,1
3,0,30.0,9.5,0,0
1,0,40.0,31.0,0,1
1,1,29.69911764705882,52.0,1,1
3,0,20.5,7.25,0,0
1,1,29.69911764705882,89.1042,1,1
1,0,36.0,26.2875,0,1
1,0,29.69911764705882,221.7792,0,1
3,0,20.0,9.8458,0,0
1,0,71.0,34.6542,0,1
2,0,36.0,12.875,0,1
2,1,22.0,29.0,2,0
3,1,48.0,34.375,4,0
